date,dba,dbt,dsa,dst,wba,wbt,wsa,wst,mba,mbt,msa,mst,qba,qbt,qsa,qst,yba,ybt,ysa,yst,y2ba,y2bt,y2sa,y2st
20201024,18424395,34,590444277,277,241277716,307,2540864415,1567,3332073212,1511,13456362462,6291,7381358717,6872,60339325442,23102,71436400643,31275,2.06E+11,84224,93904586278,84053,3.73E+11,154311
20201026,3574109,48,149684676,118,217731968,276,1381855517,1278,3306052216,1396,13240988854,6001,7368502497,6838,60062560568,23068,71371202941,31137,205914985857,84017,93749954198,83230,373011898030,154018
20201028,32405408,84,842194475,244,201816964,282,2016564564,1005,3342330406,1458,14347589221,6327,6732739036,6833,60204754401,23123,71407878254,31189,206948809426,84230,93798077359,83358,374175255753,154459
20201029,357552960,130,175589820,131,427674625,340,2079076496,967,3579650147,1488,13502275181,6306,7007143062,6894,59711777724,23064,71640328154,31225,206858844146,84187,94127119732,83004,374311283373,154500
20201030,7232788,61,409980126,248,416483018,367,1898612345,938,3513473905,1476,13563541520,6237,6428260635,6884,59923060182,23132,71522045987,31195,206630495000,84080,94094491905,82860,374654656089,154551
20201102,68643860,130,572805867,124,481552769,449,2321733536,944,3415515953,1447,13334308570,5738,6485640417,6948,60283967218,23014,71464193417,31142,205964695397,83689,94002626596,81095,374691603220,153984
20201103,277857553,145,1168001157,452,743692569,550,3168571445,1199,3693373506,1592,14502309727,6190,6758154233,7004,60745558439,23199,71742050970,31287,207132696554,84141,94280484149,81240,375859604377,154436
20201105,35345707,87,519181513,522,456027408,533,6491862813,2339,3756299459,1667,17001804497,7037,6464775086,6937,60153404971,23405,71763993636,31325,209868866920,84592,94227559733,81300,378957192411,155545
20201106,67625116,115,970201493,598,516419736,587,7052084180,2689,3791469204,1724,17592717478,7435,6450410699,6906,60671167712,23656,71810632904,31375,210471906631,84634,94273713025,80932,379757036049,155909
20201109,436827788,120,1379582902,518,884603664,577,7858861215,3083,4107562880,1692,17655297270,7139,6821964931,6948,60552640449,23819,72178695615,31300,210293286328,84497,94419801940,80671,377822098468,155541
20201110,59880780,119,2575579839,855,666626891,551,9266439897,3486,4167443660,1811,20230877109,7994,6629243652,6926,62678907264,24198,72238576395,31419,212868866167,85352,94479682720,80790,380397678307,156396
20201111,59880780,119,2575579839,855,666626891,551,9266439897,3486,4167443660,1811,20230877109,7994,6629243652,6926,62678907264,24198,72238576395,31419,212868866167,85352,94479682720,80790,380397678307,156396
20201112,102872418,232,1616926687,1678,667206102,586,6542290921,3649,4270316078,2043,21847803796,9672,6588126815,6802,62076705944,24736,72252544976,31429,214085566661,86445,94582555138,81022,382014604994,158074
20201113,22109487,111,932412050,503,621690473,582,6504501478,3554,4245756979,2057,20691571105,9715,6529344898,6735,62413871924,24654,72146378801,31318,210593912642,86502,94304013821,80618,382106077458,157919
20201116,33183487,107,276311908,432,218046172,569,5401230484,3468,1829054430,1950,18272374326,9180,6523900394,6759,61150023442,24635,72029563269,31196,210196945754,86036,93817208561,79227,381018217316,157422
20201117,129158928,143,783756832,475,287324320,593,3609407477,3088,1958213358,2093,19056131158,9655,6626103531,6738,61419883827,24757,72158722197,31339,210980702586,86511,93946367489,79370,381801974148,157897
